"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 13 16:25:18 BDT 2023","Thu Jul 13 16:25:32 BDT 2023","13706","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageFAQSecondQuestionAnswerVerify","landingPageFAQSecondQuestionAnswerVerify",""
"passed","Thu Jul 13 16:35:35 BDT 2023","Thu Jul 13 16:35:52 BDT 2023","16398","Suite","Test","testcases.FaqPageTestCases","testcases.FaqPageTestCases","faqPageQuest7QuestAnswerVerify","faqPageQuest7QuestAnswerVerify",""
"passed","Thu Jul 13 16:31:11 BDT 2023","Thu Jul 13 16:31:14 BDT 2023","2398","Suite","Test","testcases.BlogPageTestCase","testcases.BlogPageTestCase","blogPageURLVerify","blogPageURLVerify",""
"passed","Thu Jul 13 16:26:54 BDT 2023","Thu Jul 13 16:27:05 BDT 2023","11493","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageRecruiterPreferSkillSetVerify","landingPageRecruiterPreferSkillSetVerify",""
"passed","Thu Jul 13 16:22:08 BDT 2023","Thu Jul 13 16:22:19 BDT 2023","10919","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","footerFAQButtonTest","footerFAQButtonTest",""
"passed","Thu Jul 13 16:35:17 BDT 2023","Thu Jul 13 16:35:28 BDT 2023","10830","Suite","Test","testcases.FaqPageTestCases","testcases.FaqPageTestCases","faqPageQuest4QuestAnswerVerify","faqPageQuest4QuestAnswerVerify",""
"passed","Thu Jul 13 16:34:45 BDT 2023","Thu Jul 13 16:34:53 BDT 2023","8110","Suite","Test","testcases.FaqPageTestCases","testcases.FaqPageTestCases","faqPageBackButtonTest","faqPageBackButtonTest",""
"passed","Thu Jul 13 16:35:07 BDT 2023","Thu Jul 13 16:35:19 BDT 2023","11764","Suite","Test","testcases.FaqPageTestCases","testcases.FaqPageTestCases","faqPageQuest3QuestAnswerVerify","faqPageQuest3QuestAnswerVerify",""
"broken","Thu Jul 13 16:37:57 BDT 2023","Thu Jul 13 16:38:13 BDT 2023","16631","Suite","Test","testcases.RegisterTestCases","testcases.RegisterTestCases","registerFromCartPage","registerFromCartPage",""
"passed","Thu Jul 13 16:28:56 BDT 2023","Thu Jul 13 16:29:02 BDT 2023","6603","Suite","Test","testcases.AboutTestCases","testcases.AboutTestCases","aboutUsSecondParaVerify","aboutUsSecondParaVerify",""
